xc xc_err yc yc_err mag mag_err re re_err nsersic nsrsic_err BA BA_err PA PA_err sky sky_err error chi2nu prefix success_flag
17.3864 0.0249 16.5513 0.0244 9.1571 0.0215 3.1173 0.0893 0.9781 0.0342 0.707 0.0117 18.488 2.3112 -20.1606 11.6646 0.0 1.2051 VFID1686-SBS1428+457 1
31.9926 0.2986 32.3155 0.1171 10.2047 0.045 5.9952 0.3686 0.4752 0.0694 0.3802 0.0213 -81.0855 2.099 -6.0525 5.3296 0.0 1.1353 VFID1732-UGC09251 1
27.7736 0.0307 28.6376 0.0441 9.1552 0.0211 3.2032 0.0949 0.8356 0.0286 0.6374 0.0109 -12.3075 1.9413 54.6149 7.0788 0.0 1.2944 VFID1748-UGC08603 1
14.3472 0.1012 24.6871 0.133 9.5839 0.7938 13.2686 12.592 3.1053 1.2547 0.6685 0.0965 -39.6743 11.7324 21.415 21.637 0.0 1.2289 VFID1776-GALEXASCJ115514.27+440903.4 1
163.1887 0.024 162.893 0.0248 4.2321 0.0017 17.0784 0.0406 0.471 0.0021 0.9658 0.0021 42.6099 2.6165 -40.4011 2.0167 0.0 3.2733 VFID1778-NGC3938 1
146.5961 0.0268 147.7758 0.0126 4.5839 0.0012 23.8699 0.0378 0.5879 0.0022 0.1026 0.0001 64.6938 0.012 13.004 1.9392 0.0 2.5661 VFID1788-NGC4013 1
26.2516 0.3245 28.7911 0.5085 10.7239 0.078 5.9621 0.5453 0.3612 0.0845 0.6241 0.0581 -5.1513 7.7169 -16.4767 5.4715 0.0 1.1296 VFID1795-UGC08798 1
129.2262 0.013 129.0691 0.0558 6.6278 0.0095 17.1468 0.2171 1.2237 0.014 0.2193 0.0014 -13.2773 0.1435 -0.2845 1.6179 0.0 1.3175 VFID1805-NGC4183 1
85.6773 0.0116 86.281 0.0185 5.6799 0.0021 8.5654 0.0279 0.5537 0.004 0.6362 0.0017 -29.185 0.2526 -6.932 2.9737 0.0 1.8808 VFID1806-NGC4138 1
36.3075 0.1923 37.3981 0.1759 9.0015 0.5705 21.8047 13.3124 2.3856 0.6963 0.5409 0.0585 -40.7741 6.5053 32.5538 11.4417 0.0 1.1696 VFID1819-UGC07271 1
59.4083 0.0047 60.2223 0.0033 5.0561 0.0015 3.5226 0.006 0.8265 0.0032 0.8012 0.0012 72.8766 0.274 80.9016 4.4089 0.0 2.4805 VFID1831-NGC5145 1
53.6847 0.0058 53.7145 0.0067 6.6399 0.0044 4.157 0.0274 1.2753 0.009 0.7004 0.0027 -30.0183 0.4777 55.871 4.0535 0.0 1.4219 VFID1855-NGC4111 1
61.1381 0.0201 61.477 0.0079 7.0096 0.0056 6.4397 0.0508 1.0134 0.009 0.4187 0.0018 -88.7989 0.2219 12.6472 3.1955 0.0 1.5973 VFID1881-NGC5730 1
64.4679 0.0053 64.1966 0.0061 3.9425 0.0017 5.8875 0.01 0.8694 0.0037 0.5061 0.0008 40.4835 0.0846 103.7471 8.3798 0.0 7.4086 VFID1886-IC0750 1
